concentration_CH4,concentration_CO2,concentration_H2,concentration_H2O,concentration_O2,pressure_bar,temperature_kelvin
0.03,0.02,0.00000008,0.0123,0.31,1.1246,323.43
0.04,0.08,0.03,0.0123,0.21,1.1683,328.82
0.02,0.03,0.00000009,0.0123,0.22,1.1331,323.86
0.005,0.08,0.00000008,0.0123,0.21,1.113,325.54
0.00000163,0.04,0.00000008,0.0123,0.21,1.0681,313.26
0.01,0.01,0.05,0.0123,0.24,1.0938,317.36
0.1,0.03,0.02,0.0123,0.22,1.1543,326.75
0.00000163,0.04,0.03,0.0123,0.21,1.0801,311.04
0.01,0.06,0.00000008,0.0123,0.2,1.104,322.82
0.02,0.02,0.00000008,0.0123,0.26,1.1178,322.73
0.09,0.0004,0.01,0.0123,0.23,1.0968,317.81
0.00000163,0.05,0.00000008,0.0123,0.08,1.0875,315.66
0.02,0.11,0.00000008,0.0123,0.19,1.0914,327.17
0.01,0.02,0.00000008,0.0123,0.32,1.0652,319.82
0.03,0.04,0.00000008,0.0123,0.18,1.1491,326.05
0.01,0.0004,0.03,0.0123,0.25,1.0306,308.28
0.005,0.04,0.00000008,0.0123,0.12,1.0934,321.9
0.05,0.0004,0.00000009,0.0123,0.21,1.1032,316.19
0.02,0.06,0.06,0.0123,0.23,1.1125,325.95
0.02,0.09,0.00000008,0.0123,0.22,1.1568,328.17
0.00000163,0.03,0.00000008,0.0123,0.24,1.0657,310.64
0.03,0.0004,0.00000008,0.0123,0.25,1.1064,314.96
0.02,0.04,0.03,0.0123,0.18,1.08,321.29
0.01,0.2,0.00000008,0.0124,0.21,1.1362,328.97
0.00000163,0.03,0.05,0.0123,0.25,1.0819,310.04
0.00000163,0.08,0.07,0.0123,0.22,1.1028,315.38
0.02,0.04,0.00000008,0.0123,0.21,1.1344,324.75
0.015,0.0004,0.00000007,0.0123,0.16,1.0643,308.75
0.00000163,0.01,0.00000008,0.0123,0.19,1.0294,302.81
0.00000163,0.04,0.00000008,0.0123,0.19,1.0659,313.01
0.005,0.05,0.00000009,0.0123,0.2,1.0958,322.85
0.06,0.02,0.01,0.0123,0.21,1.1329,323.78
0.005,0.01,0.00000008,0.0123,0.3,1.0567,315.73
0.08,0.01,0.02,0.0123,0.25,1.127,323.74
0.01,0.04,0.00000008,0.0123,0.17,1.0928,322.68
0.02,0.06,0.01,0.0123,0.23,1.0966,325.53
0.005,0.0004,0.00000009,0.0123,0.4,1.0305,305.63
0.04,0.08,0.02,0.0123,0.22,1.1486,327.98
0.01,0.0004,0.00000007,0.0123,0.18,1.0306,308.96
0.04,0.0004,0.09,0.0123,0.21,1.0341,311.56
0.03,0.01,0.00000008,0.0123,0.16,1.1183,320.26
0.00000163,0.01,0.00000008,0.0123,0.12,1.061,305.54
0.01,0.2,0.00000008,0.0124,0.21,1.1363,328.71
0.00000163,0.07,0.00000008,0.0123,0.28,1.094,317.46
0.035,0.0004,0.00000008,0.0123,0.18,1.0953,316.32
0.00000163,0.01,0.00000009,0.0123,0.26,1.0293,302.72
0.00000163,0.08,0.00000008,0.0123,0.22,1.1017,318.56
0.005,0.04,0.00000008,0.0123,0.32,1.0916,322.03
0.005,0.2,0.00000008,0.0124,0.24,1.1403,327.42
0.025,0.0004,0.00000008,0.0123,0.2,1.0901,314.89
0.03,0.02,0.00000008,0.0123,0.08,1.0959,322.02
0.005,0.0004,0.00000008,0.0123,0.21,1.0306,306.24
0.02,0.03,0.00000008,0.0123,0.24,1.1271,323.72
0.00000163,0.02,0.06,0.0123,0.21,1.0677,307.63
0.00000163,0.01,0.1,0.0123,0.19,1.057,304.31
0.00000163,0.08,0.00000008,0.0123,0.21,1.1085,318.89
0.02,0.0004,0.03,0.0123,0.14,1.0708,313.64
0.00000163,0.0004,0.00000008,0.0123,0.27,1.0293,288.55
0.00000163,0.04,0.00000008,0.0123,0.2,1.0661,313.21
0.00000163,0.02,0.00000008,0.0123,0.06,1.0308,308.05
0.00000163,0.04,0.00000008,0.0123,0.12,1.0868,314.56
0.005,0.03,0.00000008,0.0123,0.2,1.085,320.64
